yearmon,estacion,min,max,prec,ecoreg,ecoregion,geometry
2010-10,INTA - RECONQUISTA (EMC),25.3870967741936,11.6290322580645,18.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2010-10,RECONQUISTA,12.0354838709677,25.3645161290323,34.9,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2010-11,INTA - RECONQUISTA (EMC),29.0233333333333,14.78,84.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2010-11,RECONQUISTA,14.6633333333333,29.3066666666667,47.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2010-12,INTA - RECONQUISTA (EMC),30.8064516129032,18.2806451612903,242.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2010-12,RECONQUISTA,19.0161290322581,31.3612903225806,228.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-01,INTA - RECONQUISTA (EMC),31.8354838709677,21.2064516129032,325.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-01,RECONQUISTA,21.4129032258065,31.8193548387097,236,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-02,INTA - RECONQUISTA (EMC),29.0428571428572,20.575,202.7,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-02,RECONQUISTA,20.7535714285714,29.6642857142857,178.7,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-03,INTA - RECONQUISTA (EMC),28.7935483870968,17.7,78.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-03,RECONQUISTA,18.5129032258065,29.2129032258065,40.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-04,INTA - RECONQUISTA (EMC),26.0833333333333,14.5166666666667,52.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-04,RECONQUISTA,15.2533333333333,26.32,49,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
